plot;tag;GenusSpecies;family;order1;order2;order3
P06;500308;Terminalia amazonia;Combretaceae;0.581625551404976;0.690245827926717;0.562430405744767
P06;500308;Terminalia amazonia;Combretaceae;0.258386231261593;1.03976682322064;0.697148101906397
P06;500308;Terminalia amazonia;Combretaceae;0.213647825660646;0.460436344112494;0.604997987114214
P06;500308;Terminalia amazonia;Combretaceae;0.527418081286842;0.581910965819716;0.179024933236293
P06;500519;Terminalia amazonia;Combretaceae;1.42100802240113;0.779226867633225;0.592328566091686
P06;500519;Terminalia amazonia;Combretaceae;0.680400747528292;0.933261964909041;0.708540212324379
P06;500519;Terminalia amazonia;Combretaceae;0.575229246176628;0.893437091003987;0.348067926721957
P06;500519;Terminalia amazonia;Combretaceae;0.940257538701915;0.463936008573355;0.26790766019232
P06;500578;Terminalia amazonia;Combretaceae;0.43092845788091;0.751961796780811;0.191658461484084
P06;500578;Terminalia amazonia;Combretaceae;0.224212622022577;1.00102806067456;0.635024384623776
P06;500578;Terminalia amazonia;Combretaceae;0.246915208422861;0.900735814419611;0.585180313915508
P06;500578;Terminalia amazonia;Combretaceae;0.196698272369091;0.497011581135845;0.589651706850863
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;2.01516523783451;1.28602932233548;0.924445358656584
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;4.28740344298248;0.833384391795941;0.89445519782689
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;1.37971220447186;0.717171966969619;0.594264130857699
P06;500310;Tachigali versicolor;Fabaceae-caesalpinioideae;3.49063485516103;0.52606291395454;0.749807390839456
campochagres;622486;Gustavia superba;Lecythidaceae;0.211135392723221;0.154651295878563;0.195531848764468
campochagres;622486;Gustavia superba;Lecythidaceae;0.308681336405019;0.0725053155408839;0.135222127581376
campochagres;622486;Gustavia superba;Lecythidaceae;0.713533998863967;0.00409532530224299;0.321638611969948
campochagres;622486;Gustavia superba;Lecythidaceae;0.633205948866945;0.41071410856449;0.197211659442707
campochagres;622485;Gustavia superba;Lecythidaceae;1.68014760038542;0.265517671150991;1.04337489822767
campochagres;622485;Gustavia superba;Lecythidaceae;0.510774708714443;0.2253238407674;0.65863971966995
campochagres;622485;Gustavia superba;Lecythidaceae;0.660099936769712;0.703544930552604;0.850957932085202
campochagres;622485;Gustavia superba;Lecythidaceae;0.568507497648961;0.380963181637623;0.919044448330772
campochagres;621563;Gustavia superba;Lecythidaceae;0.455435800798478;0.186370592557511;0.30390074123816
campochagres;621563;Gustavia superba;Lecythidaceae;0.213314750878853;0.247919631524227;0.231812441265097
campochagres;621563;Gustavia superba;Lecythidaceae;0.218597861559534;0.168900874587009;0.432626621858247
campochagres;621563;Gustavia superba;Lecythidaceae;0.246398275289239;0.17838286343446;0.363951144258865
P07;809637;Gustavia superba;Lecythidaceae;0.620460830837281;0.957833626428259;0.711080704364968
P07;809637;Gustavia superba;Lecythidaceae;0.956266184867568;0.962686316697814;0.68125060857003
P07;809637;Gustavia superba;Lecythidaceae;1.09719149620207;0.686176263828246;0.922120018751936
P07;809637;Gustavia superba;Lecythidaceae;0.732461914270589;1.24469093005591;0.996304607931332
P07;809637;Gustavia superba;Lecythidaceae;0.508372433553053;0.815982221650825;0.761059717550079
P07;809637;Gustavia superba;Lecythidaceae;0.57141030523917;0.875477499906388;0.87342797035539
P07;809637;Gustavia superba;Lecythidaceae;0.371350542305489;0.614159759894893;1.01975465264917
P07;809637;Gustavia superba;Lecythidaceae;0.594876143890684;0.599348021578001;1.07539044875815
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.903385424035514;0.552145921981406;1.03169790024129
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.925049310714667;0.700523784239576;0.965983118669338
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;1.21374690291566;0.607907062294902;0.680446417341737
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;1.41863158149253;1.05751250214691;0.980662903251799
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;0.246278867570477;0.85090902071366;0.833658570658047
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;1.05376445313371;1.06642508663274;0.654164620987819
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;1.2388719090427;0.442871984373192;0.464110988657165
P07;806585;Tachigali versicolor;Fabaceae-caesalpinioideae;2.05036055443818;0.901627427364352;0.859511785005054
P07;823412;Tapirira guianensis;Anacardiaceae;1.2065911178675;2.48909161678198;0.889349425758232
P07;823412;Tapirira guianensis;Anacardiaceae;1.18484366469144;0.954807110432704;1.94817607577873
P07;823412;Tapirira guianensis;Anacardiaceae;1.20373693518711;0.674229785235255;2.32518831181916
P07;823412;Tapirira guianensis;Anacardiaceae;1.02096925284096;1.51168364415786;1.60437716353991
P07;502871;Tapirira guianensis;Anacardiaceae;1.05719582941288;0.652487288218908;1.15836853643867
P07;502871;Tapirira guianensis;Anacardiaceae;2.59448466083621;0.86493635307182;1.12859608342576
P07;502871;Tapirira guianensis;Anacardiaceae;1.78343716391611;1.71654051780718;1.42730175231002
P07;502871;Tapirira guianensis;Anacardiaceae;0.833227297090504;0.878992408926423;1.94261734750262
P07;502761;Aspidosperma spruceanum;Apocynaceae;1.44575365043928;1.96000859916127;1.16219876727482
P07;502761;Aspidosperma spruceanum;Apocynaceae;1.49946426926994;2.88587150101413;3.15291770417908
P07;502761;Aspidosperma spruceanum;Apocynaceae;2.31448871184529;2.25663636392329;2.05095643901677
P07;502761;Aspidosperma spruceanum;Apocynaceae;3.28047623965262;2.62014860210246;2.83004819327426
P08;506530;Welfia regia;Arecaceae;1.10054117656024;1.40770894120864;1.01939162282982
P08;506530;Welfia regia;Arecaceae;0.600381418240125;1.22663873517034;1.22130106108093
P08;506530;Welfia regia;Arecaceae;0.879204484060096;1.46791154964848;0.669277068982729
P08;506530;Welfia regia;Arecaceae;0.363540015275701;0.762596816598494;1.35622375559216
P08;506504;Welfia regia;Arecaceae;1.01124749918493;1.76290004712685;1.09804650719556
P08;506504;Welfia regia;Arecaceae;0.990050732438687;1.97019889991311;0.887220929443116
P08;506504;Welfia regia;Arecaceae;1.19957508912487;1.37619830908809;2.03892983236542
P08;506950;Pourouma bicolor;Urticaceae;1.62436737377809;2.04376752824052;1.54220448537093
P08;506950;Pourouma bicolor;Urticaceae;1.30566813760666;1.80572425515059;1.87104910011326
P08;506950;Pourouma bicolor;Urticaceae;1.49195133414578;0.82095395349732;1.9047300972229
P08;507456;Pourouma bicolor;Urticaceae;2.4163023665339;2.13371781241706;1.70047063194767
P08;507456;Pourouma bicolor;Urticaceae;1.68610818747222;2.0811493956579;1.41090312659196
P08;507456;Pourouma bicolor;Urticaceae;1.63338446109374;2.4879873130321;1.77665583062726
P08;507456;Pourouma bicolor;Urticaceae;1.53062519067832;1.46865193166869;1.34090669223713
P08;507610;Trattinnickia aspera;Burseraceae;1.57252480167289;1.19759674227606;1.23311383152765
P08;507610;Trattinnickia aspera;Burseraceae;1.01333415756945;0.87513349798324;1.08540097630961
P08;507610;Trattinnickia aspera;Burseraceae;1.11676703059156;1.4792734900671;0.870878645044583
P08;507610;Trattinnickia aspera;Burseraceae;1.63467348217567;1.40139930424173;0.594621427143229
P08;743300;Trattinnickia aspera;Burseraceae;2.21261637146963;0.804578535567528;0.35705478132364
P08;743300;Trattinnickia aspera;Burseraceae;0.938701218191103;1.06851259105946;0.564706613522962
P08;743300;Trattinnickia aspera;Burseraceae;0.456491949654841;1.149666690419;0.238258318951187
P08;743300;Trattinnickia aspera;Burseraceae;0.464199309326838;0.751250556255046;0.412814406770893
P08;721551;Tapirira guianensis;Anacardiaceae;1.5611663235993;0.938178180157607;0.650766555362978
P08;721551;Tapirira guianensis;Anacardiaceae;1.84655465802812;1.76097582474551;0.768222276981539
P08;721551;Tapirira guianensis;Anacardiaceae;0.904069464347632;1.49336259476305;1.68903659757318
P08;721551;Tapirira guianensis;Anacardiaceae;1.15035470087397;1.65347896193842;1.59453815431117
P08;506551;Tapirira guianensis;Anacardiaceae;4.06436072925717;2.14813882173573;2.00140760358542
P08;506551;Tapirira guianensis;Anacardiaceae;1.72968708880664;1.70037669087594;1.61850650085954
P08;506551;Tapirira guianensis;Anacardiaceae;1.49469508683571;1.97547836031101;1.47352063440138
P08;506551;Tapirira guianensis;Anacardiaceae;1.78028416438572;1.08995326319772;1.85493702448788
P08;506551;Tapirira guianensis;Anacardiaceae;1.7184299779035;1.5661111397518;2.01838498303448
P08;506551;Tapirira guianensis;Anacardiaceae;1.35562377046999;1.83604064105474;3.22439807229959
P08;506551;Tapirira guianensis;Anacardiaceae;1.09801009524509;1.59227411177501;3.05659353604126
P08;506551;Tapirira guianensis;Anacardiaceae;1.08576475631326;2.68819541201929;1.52060810045997
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;2.38767227745217;1.56366539126136;0.808100593631988
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;2.20040687415055;1.46268488201641;0.746688516941001
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;1.82546667164567;1.26491718682104;0.512593305844643
P08;724388;Tachigali versicolor;Fabaceae-caesalpinioideae;3.168526191567;1.0473569565635;0.732853741029824
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.89270775870189;1.39119272134677;0.643590813946166
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.61303212058913;0.800777704501097;0.702497103538951
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.77441815197043;1.28283302672635;0.613275147041909
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.27077007661642;0.977090057431779;0.73012475725562
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.65655150706834;1.07359026403795;1.02612449298114
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.61340827830304;1.01950715917237;0.879069096120264
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;1.49345345017304;1.64732244010838;0.694042575814264
P08;507664;Tachigali versicolor;Fabaceae-caesalpinioideae;2.71213412057344;0.731298491834782;0.874895123895019
P24;539658;Cavanillesia platanifolia;Malvaceae;0.772672665629487;0.378158365721961;0.664783279787163
P24;539658;Cavanillesia platanifolia;Malvaceae;0.487485053487805;0.304415876293662;0.759166999260094
P24;539658;Cavanillesia platanifolia;Malvaceae;0.563461351832088;0.57932578295141;0.865702919358836
P24;539658;Cavanillesia platanifolia;Malvaceae;0.4446723926145;0.436293120080372;0.587901001840768
P24;538783;Swartzia simplex;Fabaceae-papilionoideae;1.73927504343061;0.38497835973075;0.53873991582904
P24;538783;Swartzia simplex;Fabaceae-papilionoideae;0.437486540371026;0.369156145230916;0.790233409545146
P24;538783;Swartzia simplex;Fabaceae-papilionoideae;0.177039877792465;0.28575515338026;1.08200653247996
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.425865731311849;0.469249809695866;0.926615582441685
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.422489261626197;0.211402521769905;0.597958503896484
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.681733237232107;0.245878211809513;1.02195183479106
P24;538448;Swartzia simplex;Fabaceae-papilionoideae;0.190574454518199;0.280133798994275;0.727884184983795
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;1.19589248170945;1.31886203160654;1.39624861947371
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;1.21249269950214;1.30091653308378;0.917091199684232
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;0.78806998881202;1.15231446507469;1.18224953016911
P24;854536;Inga ruiziana;Fabaceae-mimosoideae;0.981899464085872;1.09905429469476;1.58857681598396
P24;855556;Gustavia superba;Lecythidaceae;0.363377269010407;0.611011822433812;0.385604574937303
P24;855556;Gustavia superba;Lecythidaceae;0.24019256380927;0.475206093093676;0.432148352904592
P24;855556;Gustavia superba;Lecythidaceae;0.476080272049023;0.282321641553862;0.432523676019083
P24;855556;Gustavia superba;Lecythidaceae;0.53411242702748;0.327052865346305;0.492387090527004
P24;538484;Gustavia superba;Lecythidaceae;0.952200366872972;0.491618697031507;0.580509696797293
P24;538484;Gustavia superba;Lecythidaceae;0.751493802079022;0.429724710296673;0.617520072107117
P24;538484;Gustavia superba;Lecythidaceae;0.771039270131763;0.498454976495793;0.609906280913805
P24;538484;Gustavia superba;Lecythidaceae;1.0299943112434;0.450633713063204;0.655260991151093
P23;536584;Gustavia superba;Lecythidaceae;0.194865898305635;0.264248684998611;0.168358732732431
P23;536584;Gustavia superba;Lecythidaceae;0.0580235217220065;0.182927201167041;0.0857480773903401
P23;536584;Gustavia superba;Lecythidaceae;0.165461707463785;0.116933559426259;0.165800813445942
P23;536584;Gustavia superba;Lecythidaceae;0.194530446399102;0.224139197449428;0.194718085478498
P23;537324;Gustavia superba;Lecythidaceae;0.386097901899797;0.605013399768608;0.544544044782927
P23;537324;Gustavia superba;Lecythidaceae;0.403392549192665;0.389762618006797;0.424215334762791
P23;537324;Gustavia superba;Lecythidaceae;0.274351829600675;0.360575890408925;0.580486332715732
P23;537324;Gustavia superba;Lecythidaceae;0.373244372179975;0.439526832149245;0.363981899852098
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;1.18122127435952;2.14101492989218;0.950738041781926
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;1.32609579599758;2.49827296329586;1.33791990951039
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;1.4909798319265;2.38053992335607;1.56282699454483
P23;537316;Cojoba rufescens;Fabaceae-mimosoideae;3.23771749203118;3.08173610186952;1.52129078740756
P23;536481;Inga vera;Fabaceae-mimosoideae;1.71773662089269;1.45930052501371;0.885969860691563
P23;536481;Inga vera;Fabaceae-mimosoideae;1.23473734817951;0.959926129566311;0.756753011414497
P23;536481;Inga vera;Fabaceae-mimosoideae;1.57893441234774;0.865633352569312;0.641212578925736
P23;536481;Inga vera;Fabaceae-mimosoideae;1.6605228752076;0.8551471708052;1.16530997785638
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.55541771093863;0.57445164403749;0.570227070772006
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.812056300458584;0.701340837630808;0.545900229879497
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.772197852423652;0.452452836019221;0.488950372434017
P23;114637;Swartzia simplex;Fabaceae-papilionoideae;0.898064508547583;0.631583575470199;0.544845096497439
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.439246236837107;0.135560011018425;0.400296466472469
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.482747964550369;0.145285847260461;0.510448115449953
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.278805453134533;0.104246064973573;0.702070147519265
P23;536582;Swartzia simplex;Fabaceae-papilionoideae;0.328933227784928;0.268235853318312;0.406289484397222
P23;536475;Zuelania guidonia;Salicaceae;1.24367575419884;0.274656286885056;0.409544551662524
P23;536475;Zuelania guidonia;Salicaceae;0.706112447931428;0.48140738297937;0.329769217023213
P23;536475;Zuelania guidonia;Salicaceae;0.525320402717249;0.68223357153053;0.346331095516091
P23;536475;Zuelania guidonia;Salicaceae;0.602040861297945;0.327390164424911;0.828345483566068
P23;536811;Bursera simaruba;Burseraceae;0.725253739390865;0.487287020726977;0.321836777386127
P23;536811;Bursera simaruba;Burseraceae;0.907861803147716;0.286237042149305;0.902621071104562
P23;536811;Bursera simaruba;Burseraceae;0.590659155428813;0.431889678548636;0.628837700423287
P23;536811;Bursera simaruba;Burseraceae;0.270148442378829;0.238531874909227;0.386476853001128